PARTNER,MONTH,GENRE,TITLE,MINUTES WATCHED,VIEWS,
C,MONTH 3,BV,543254,164659.7888,4471,
C,MONTH 6,BV,543254,109314.7312,3133,
C,MONTH 3,BV,493716,105957.0221,2537,
C,MONTH 5,BV,543254,92957.2957,2589,
C,MONTH 4,BV,543254,91245.06917,2391,
C,MONTH 6,BV,493716,83867.36587,2045,
C,MONTH 7,BV,543254,79484.18467,2139,
C,MONTH 4,BV,493716,77490.15435,1813,
C,MONTH 5,BV,493716,76462.42293,1845,
C,MONTH 7,BV,493716,68222.62542,1572,
C,MONTH 2,BV,543254,53359.96017,1497,
C,MONTH 1,BV,543254,46852.40857,1316,
C,MONTH 3,BV,414496,45465.06197,2223,
C,MONTH 2,BV,493716,44599.4843,1169,
C,MONTH 1,BV,493716,41354.83513,1098,
C,MONTH 6,BV,414496,38799.95218,1714,
C,MONTH 7,BV,414496,31437.22677,1301,
C,MONTH 4,BV,414496,30632.94868,1337,
C,MONTH 5,BV,414496,27342.65093,1207,
C,MONTH 2,BV,414496,15933.47783,838,
C,MONTH 1,BV,414496,12278.38057,614,
A,MONTH 4,CZ,389315,88396.26085,1956,
A,MONTH 7,CZ,389315,77851.61887,1852,
A,MONTH 6,CZ,389315,77258.31497,1783,
A,MONTH 3,CZ,389315,72051.52622,1675,
A,MONTH 5,CZ,389315,67898.65548,1602,
A,MONTH 2,CZ,389315,59776.22307,1397,
A,MONTH 1,CZ,389315,59459.00903,1489,
B,MONTH 6,CZ,761967,2617177.735,131771,
B,MONTH 7,CZ,761967,2129339.859,68966,
B,MONTH 5,CZ,761967,297012.5246,8615,
B,MONTH 4,CZ,761967,268726.4868,7572,
B,MONTH 2,CZ,761967,243981.1202,6739,
B,MONTH 3,CZ,761967,231533.9521,6300,
B,MONTH 1,CZ,761967,210833.6399,5923,
C,MONTH 2,CZ,317602,53749.0008,2015,
C,MONTH 1,CZ,317602,41086.70725,1516,
C,MONTH 4,CZ,113135,39025.04482,1712,
C,MONTH 5,CZ,113135,37444.54667,1743,
C,MONTH 1,CZ,113135,29370.08905,1540,
C,MONTH 3,CZ,113135,24719.46128,1406,
C,MONTH 3,CZ,317602,15988.95125,624,
C,MONTH 2,CZ,113135,15283.43802,851,
C,MONTH 4,CZ,317602,10764.55272,409,
C,MONTH 5,CZ,317602,9304.289967,381,
C,MONTH 6,CZ,113135,354.5651,14,
C,MONTH 6,CZ,317602,90.0137,6,
D,MONTH 5,CZ,375329,148663.9157,4200,
D,MONTH 7,CZ,375329,93628.6654,2687,
D,MONTH 6,CZ,375329,90295.29218,2597,
D,MONTH 4,CZ,375329,11126.4476,338,
E,MONTH 6,CZ,968919,1861261.313,40461,
E,MONTH 6,CZ,968919,1630387.257,43256,
E,MONTH 5,CZ,968919,1163222.26,33010,
E,MONTH 6,CZ,968919,1154270.237,32586,
E,MONTH 5,CZ,968919,1101042.155,25248,
E,MONTH 4,CZ,968919,1010219.211,29999,
E,MONTH 7,CZ,968919,965721.8771,26571,
E,MONTH 7,CZ,968919,946523.1792,21827,
E,MONTH 4,CZ,968919,875148.2513,20797,
E,MONTH 1,CZ,968919,838219.4945,25050,
E,MONTH 1,CZ,968919,794820.6517,18581,
E,MONTH 5,CZ,968919,785655.4063,23570,
E,MONTH 1,CZ,968919,694487.6413,26819,
E,MONTH 7,CZ,968919,690757.5329,21148,
E,MONTH 2,CZ,968919,658152.6428,20688,
E,MONTH 3,CZ,968919,649198.275,20213,
E,MONTH 2,CZ,968919,647731.6428,15775,
E,MONTH 6,CZ,968919,634787.3556,15256,
E,MONTH 4,CZ,968919,626956.5051,19539,
E,MONTH 3,CZ,968919,573196.8483,14055,
E,MONTH 6,CZ,968919,517349.6538,11520,
E,MONTH 5,CZ,968919,434173.0945,10913,
E,MONTH 2,CZ,968919,412240.7537,14195,
E,MONTH 3,CZ,968919,375675.673,12449,
E,MONTH 7,CZ,968919,364376.1402,9301,
E,MONTH 4,CZ,968919,363735.1611,9766,
E,MONTH 5,CZ,968919,333452.4443,7809,
E,MONTH 1,CZ,968919,292181.1511,7778,
E,MONTH 7,CZ,968919,281932.6371,6554,
E,MONTH 4,CZ,968919,271318.5982,6572,
E,MONTH 2,CZ,968919,248935.1413,7150,
E,MONTH 3,CZ,968919,247189.9787,7162,
E,MONTH 1,CZ,968919,216648.317,5337,
